title,price,model,features
Asus Dual RTX 4070 Super EVO OC Edition 12GB Graphics Card,"₨191,000.00",Model not found,"['Graphics Coprocessor: RTX 4070 SUPER', 'Brand: ASUS', 'Graphics Ram Size: 12 GB', 'GPU Clock Speed: 2550 MHz', 'Video Output Interface: HDMI']"
Asus Dual GeForce RTX 4060 Ti OC Edition 16GB Graphics Card,"₨167,000.00",Model not found,"['Graphics Coprocessor:\xa0 RTX 4060 Ti', 'Brand: ASUS', 'Graphics Ram: Size 16 GB', 'GPU Clock Speed: 2595 MHz', 'Video Output Interface: DisplayPort, HDMI']"
Asus Dual GeForce RTX 3050 OC Edition 6GB Graphics Card,"₨72,500.00",Model not found,"['Graphics Coprocessor:\xa0 RTX 3050', 'Brand: ASUS', 'Graphics Ram Size: 6 GB', 'GPU Clock Speed: 4000 MHz', 'Video Output Interface: HDMI']"
ZOTAC Gaming GeForce RTX 4080 Super Graphics Card,"₨334,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0RTX 4080 SUPER', 'Graphics Ram Size 16 GB', 'GPU Clock Speed 2610 MHz', 'Video Output Interface DP, HDMI']"
ZOTAC GeForce RTX 4070 Ti Super Trinity 16GB Graphics Card,"₨269,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0RTX 4070 Ti SUPER', 'Graphics Ram Size\xa0 16 GB', 'GPU Clock Speed 2610 MHz', 'Video Output Interface DP and HDMI']"
Asus Dual GeForce RTX 4060 White OC Edition Graphics Card,"₨98,000.00",Model not found,"['Brand ASUS', 'Graphics Coprocessor NVIDIA GeForce RTX 4060', 'Graphics Ram Size 8 GB', 'GPU Clock Speed 2505 MHz', 'Video Output Interface DisplayPort']"
Sapphire Pulse AMD Radeon RX 7600 8GB Graphics Card,"₨92,500.00",Model not found,"['Brand Sapphire', 'Graphics Coprocessor \xa0RX 7600', 'Graphics Ram Size 8 GB', 'GPU Clock Speed 2355 MHz', 'Video Output Interface DP, HDMI']"
Sapphire Pulse AMD Radeon RX 7700 XT 12GB Graphics Card,"₨140,000.00",Model not found,"['Brand Sapphire', 'Graphics Coprocessor RX 7700', 'Graphics Ram Size 12 GB', 'GPU Clock Speed 2544 MHz', 'Video Output Interface DP, HDMI']"
Sapphire Pulse AMD Radeon RX 7900 XT 20GB Graphics Card,"₨245,000.00",Model not found,"['Brand Sapphire', 'Graphics Coprocessor \xa0RX 7900 XT', 'Graphics Ram Size 20 GB', 'GPU Clock Speed 2450 MHz', 'Video Output Interface DP, HDMI']"
Sapphire AMD Radeon RX 7900 XTX PULSE 24GB Graphics Card,"₨335,000.00",Model not found,"['Brand Sapphire', 'Graphics Coprocessor RX 7900 XTX', 'Graphics Ram Size 24 GB', 'GPU Clock Speed 2525 MHz', 'Video Output Interface DP, HDMI']"
Sapphire Pulse AMD Radeon RX 7800 XT 16GB Graphics Card,"₨172,000.00",Model not found,"['Brand Sapphire', 'Graphics Coprocessor \xa0RX 7800', 'Graphics Ram Size 16 GB', 'GPU Clock Speed 2430 MHz', 'Video Output Interface DP, HDMI']"
Sapphire Pulse AMD Radeon RX 7600 XT 16GB Graphics Card,"₨100,000.00",Model not found,"['Brand Sapphire', 'Graphics Coprocessor \xa0RX 7600 XT', 'Graphics Ram Size 16 GB', 'GPU Clock Speed 2810 MHz', 'Video Output Interface DP, HDMI']"
ZOTAC GeForce RTX 4070 Twin Edge OC Graphics Card,"₨178,000.00",Model not found,"['Brand\xa0Zotac', 'Graphics RAM Size\xa012GB', 'Graphics Coprocessor NVIDIA GeForce RTX 4070', 'Chipset Brand\xa0Nvidia', 'Graphics Ram Type\xa0GDDR6X']"
ZOTAC GAMING GeForce RTX 4070 Ti Trinity Graphics Card,"₨270,000.00",Model not found,"['Brand\xa0Zotac', 'Graphics RAM Size\xa012GB', 'Graphics Coprocessor NVIDIA GeForce RTX 4070 Ti', 'Chipset Brand\xa0Nvidia', 'Graphics Ram Type\xa0GDDR6X']"
ZOTAC GAMING GeForce RTX 4080 16GB Graphics Card,"₨334,000.00",Model not found,"['Brand\xa0Zotac', 'Graphics RAM Size\xa016GB', 'Graphics Coprocessor RTX 4080', 'Chipset Brand\xa0Nvidia', 'Graphics Ram Type\xa0GDDR6X']"
ZOTAC GAMING GeForce RTX 4090 Trinity Graphics Card,"₨695,000.00",Model not found,"['Brand\xa0Zotac', 'Graphics RAM Size\xa024GB', 'Graphics Coprocessor NVIDIA GeForce RTX 4090', 'Chipset Brand\xa0Nvidia', 'Graphics Ram Type\xa0GDDR6X']"
MSI GTX 1060 3GB GDRR5 192-bit Graphics Card (Used),"₨27,000.00",Model not found,"['Series\xa0GeForce GTX 1060 3GT OC', 'Brand\xa0MSI', 'Chipset Brand GTX\xa01060', 'Graphics Ram Type\xa0GDDR5']"
MSI Gaming Radeon RX 6950 XT 16GB Gaming X Trio Graphics Card Used,"₨147,000.00",Model not found,"['Brand: MSI', 'Graphics Coprocessor:\xa0 RX 6950 XT', 'Video Output Interface: DisplayPort, HDMI', 'Graphics RAM Type: GDDR6']"
MSI Gaming X RX 6650 XT – 8GB  Graphics Card,"₨75,500.00",Model not found,"['Brand\xa0MSI', 'Graphics Coprocessor\xa0 RX 6650XT', 'Video Output Interface DP, HDMI', 'Chipset Brand\xa0AMD Graphics', 'RAM Type\xa0GDDR6']"
XFX  SWFT210 8GB RX 6600 XT Graphics Card (Used),"₨66,000.00",Model not found,"['Brand XFX', 'Graphics Coprocessor RX 6600 XT', 'Video Output Interface HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']"
Palit RTX 3050 Stormx Graphics Card,"₨65,000.00",Model not found,"['Brand Palit', 'Graphics Coprocessor\xa0Nvidia RTX 3050', 'Video Output Interface DP, HDMI', 'Chipset Brand\xa0Nvidia', 'Graphics RAM Type\xa0GDDR6']"
ZOTAC RTX 3080 Ti Trinity OC 12GB Graphics Card (Used),"₨155,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor RTX 3080 Ti', 'Video Output Interface DP, HDMI', 'Chipset Brand ZOTAC Graphics', 'RAM Type GDDR6X']"
Asus TUF GTX 1660Ti OC 6GB Dual-Fan Graphics Card (Used),"₨45,000.00",Model not found,"['Brand Asus', 'Graphics Coprocessor\xa0 GTX 1660 Ti', 'Video Output Interface DP, DVI, HDMI', 'Chipset Brand NVIDIA']"
ZOTAC GTX 1660 Super 6GB Graphics Card (Used),"₨45,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0 GTX 1660', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA', 'Graphics RAM Type GDDR6']"
MSI Radeon RX 5700 XT GAMING X – 8GB GDDR6 (Used),"₨57,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor AMD Radeon RX 5700', 'Chipset Brand Nvidia', 'Video Output Interface DisplayPort, HDMI', 'Graphics Ram Type GDDR6']"
ZOTAC RTX 3060 Twin Edge OC 12GB GDDR6 192-bit Graphics Card,"₨93,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0 RTX 3060', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6']"
