title,price,model,features
Gigabyte RX 480 8GB G1 Gaming Graphics Card (Used),23000.0,Model not found,"['Brand Gigabyte', 'Graphics RAM Size 8GB', 'Graphics Coprocessor RX 480', 'Chipset Brand AMD', 'Graphics Ram Type GDDR5']"
Gigabyte Radeon RX 580 Gaming 4GB Graphic Cards Used,19000.0,Model not found,"['Brand Gigabyte', 'Graphics Coprocessor AMD Radeon RX 580', 'Chipset Brand AMD', 'Graphics Ram Type GDDR5', 'Series GV-RX580GAMING-4GD']"
SAPPHIRE PULSE Radeon RX 560 4GB Graphic Card (Used),24000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor RX 560', 'Chipset Brand Nvidia', 'Graphics Ram Size 4 GB', 'Memory Speed 6000 MHz', 'Graphics Ram Type DDR SDRAM']"
Sapphire Nitro RX 470 4GB Graphic Card,18000.0,Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon RX 470', 'Chipset Brand AMD', 'Graphics Ram Type DDR5 SDRAM']"
MSI RX 580 8GB OC ARMOR Graphic Cards (Used),26500.0,Model not found,"['Series Radeon RX 580 ARMOR 8G OC', 'Brand MSI', 'Graphics Coprocessor AMD FirePro V7900', 'Chipset Brand AMD Radeon RX 580', 'Graphics Ram Type GDDR5']"
MSI GeForce GTX 1650 SUPER GAMING X 4GB,32000.0,Model not found,"['Series NVIDIA GeForce GTX 1650', 'Brand MSI', 'Graphics Coprocessor NVIDIA GeForce GTX 1650', 'Chipset Brand Nvidia', 'Video Output Interface DisplayPort, HDMI', 'Graphics Ram Type GDDR6']"
MSI GTX 1080 Ti Gaming X – 11GB Graphics Card (Used),55000.0,Model not found,"['Brand MSI', 'Series GTX 1080 Ti GAMING X 11G', 'Graphics Coprocessor GTX 1080 Ti', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']"
MSI GeForce GTX 1070 Aero ITX OC 8GB Graphics Card (Used),45000.0,Model not found,"['Brand MSI', 'Series  GTX 1070 AERO ITX 8G OC', 'Graphics Coprocessor  GTX 1070', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']"
MSI GTX 1660 Ti GAMING X Graphics Cards (Used),48000.0,Model not found,"['Brand MSI', 'Series  GTX 1660 Ti GAMING X 6G', 'Graphics Coprocessor  GTX 1060', 'Video Output Interface DP, HDMI']"
MSI GTX 750Ti 2GB Graphics Card (Used),,Model not found,"['Brand MSI', 'Graphics RAM Size 2GB', 'Graphics Coprocessor GTX 750Ti', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']"
